,id,entry_date,entry_weekday,exit_date,exit_weekday,duration,symbol,long,short,nshares,entry_price,entry_score,entry_value,exit_price,exit_score,exit_value,entry_comm,exit_comm,$change,%change,profitable,p.positions,p.cash,p.sh_cash,p.invested_capital,market_value
2020-12-21 00:00:00 FDX,35,2020-08-11,2,2020-12-21 00:00:00,1,132,FDX,1,0,5,197.41,0,987.04,269.52,0,1347.62,0.0,-1.35,360.57,36.53,1,l: 9 s: 0,2482.36,0.0,10033.29,12515.66
2021-01-05 00:00:00 FLIR,46,2021-01-05,2,0,0,0,FLIR,1,0,24,51.37,0,1232.79,0.0,0,0.0,-1.23,0.0,0.0,0.0,0,l: 9 s: 0,1248.34,0.0,11266.08,12514.42
2021-01-07 00:00:00 CF,47,2021-01-07,4,0,0,0,CF,1,0,29,42.69,0,1238.09,0.0,0,0.0,-1.24,0.0,0.0,0.0,0,l: 10 s: 0,9.01,0.0,12504.18,12513.19
2021-01-28 00:00:00 ALGN,38,2020-10-23,5,2021-01-28 00:00:00,4,97,ALGN,1,0,2,451.34,0,902.68,509.36,0,1018.72,0.0,-1.02,116.04,12.86,1,l: 10 s: 0,1026.71,0.0,11601.5,12628.21
2021-01-28 00:00:00 DLTR,24,2020-05-29,5,2021-01-28 00:00:00,4,244,DLTR,1,0,14,97.02,0,1358.28,101.67,0,1423.38,0.0,-1.42,65.1,4.79,1,l: 9 s: 0,2448.67,0.0,10243.22,12691.88
2021-01-28 00:00:00 XLNX,37,2020-10-12,1,2021-01-28 00:00:00,4,108,XLNX,1,0,10,116.92,0,1169.18,137.05,0,1370.5,0.0,-1.37,201.32,17.22,1,l: 8 s: 0,3817.8,0.0,9074.04,12891.84
2021-01-28 00:00:00 IRM,48,2021-01-28,4,0,0,0,IRM,1,0,36,34.78,0,1252.04,0.0,0,0.0,-1.25,0.0,0.0,0.0,0,l: 8 s: 0,2564.5,0.0,10326.08,12890.58
2021-01-28 00:00:00 NTAP,49,2021-01-28,4,0,0,0,NTAP,1,0,18,67.91,0,1222.34,0.0,0,0.0,-1.22,0.0,0.0,0.0,0,l: 9 s: 0,1340.94,0.0,11548.42,12889.36
2021-01-28 00:00:00 STX,50,2021-01-28,4,0,0,0,STX,1,0,19,68.87,0,1308.45,0.0,0,0.0,-1.31,0.0,0.0,0.0,0,l: 10 s: 0,31.18,0.0,12856.87,12888.05
2021-02-01 00:00:00 GRMN,39,2020-11-03,2,2021-02-01 00:00:00,1,90,GRMN,1,0,12,109.69,0,1316.28,114.12,0,1369.43,0.0,-1.37,53.15,4.04,1,l: 10 s: 0,1399.24,0.0,11540.59,12939.83
2021-02-02 00:00:00 SWKS,51,2021-02-02,2,0,0,0,SWKS,1,0,7,186.94,0,1308.58,0.0,0,0.0,-1.31,0.0,0.0,0.0,0,l: 10 s: 0,89.35,0.0,12849.17,12938.52
