,open,high,low,close,d%change,c%change
2021-01-19,14933.48,15153.44,14703.65,15023.09,1.43,50.23
2021-01-20,15122.94,15262.12,14869.38,14980.48,-0.28,49.8
2021-01-21,15012.78,15124.63,14750.92,14875.65,-0.7,48.76
2021-01-22,14803.58,14948.85,14631.29,14806.28,-0.47,48.06
2021-01-25,14813.25,15021.71,14518.21,14837.7,0.21,48.38
2021-01-26,14901.08,14959.7,14572.22,14667.3,-1.15,46.67
2021-01-27,14377.39,14494.03,13808.17,14057.16,-4.16,40.57
2021-01-28,14202.97,14472.86,13814.84,13985.35,-0.51,39.85
2021-01-29,14002.19,14193.17,13600.89,13742.05,-1.74,37.42
2021-02-01,13853.53,14083.67,13713.77,13966.22,1.63,39.66
2021-02-02,14121.14,14228.7,13824.48,14035.11,0.49,40.35
2021-02-03,14044.71,14272.7,13764.9,13931.98,-0.73,39.32
2021-02-04,13705.4,13935.68,13518.32,13814.7,-0.84,38.15
2021-02-05,13897.9,14056.75,13752.83,13899.99,0.62,39.0
2021-02-08,14015.91,14322.58,13905.99,14211.33,2.24,42.11
2021-02-09,14184.57,14388.16,14068.22,14270.38,0.42,42.7
2021-02-10,14346.81,14464.24,14059.58,14272.03,0.01,42.72
2021-02-11,14354.44,14552.23,14096.93,14303.37,0.22,43.03
2021-02-12,14327.09,14572.65,14238.33,14509.57,1.44,45.1
2021-02-16,14652.71,14818.87,14442.92,14662.88,1.06,46.63
2021-02-17,14536.63,14682.38,14309.84,14545.85,-0.8,45.46
2021-02-18,14445.44,14629.81,14204.68,14408.86,-0.94,44.09
2021-02-19,14531.62,14806.49,14383.04,14661.77,1.76,46.62
2021-02-22,14601.48,14844.28,14361.9,14510.12,-1.03,45.1
2021-02-23,14336.87,14548.77,13946.99,14423.43,-0.6,44.23
2021-02-24,14425.33,14932.78,14314.4,14793.03,2.56,47.93
2021-02-25,14711.81,14838.96,14030.05,14159.39,-4.28,41.59
2021-02-26,14225.03,14428.85,13971.13,14195.12,0.25,41.95
